question_code,dimension,role,aggregation_allowed,substitution_allowed,interpretation,method_version
Q04,ESPACIAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,HIDROESTRATIGRAFICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,VERTICAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,HIDRAULICA,SUPORTE,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,HIDROQUIMICA,NAO_APLICAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,TEMPORAL,NAO_APLICAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,INDEPENDENCIA,CRITICA_CELULA,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,QUALIDADE_DOCUMENTAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,INCERTEZA,TRANSVERSAL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,ESPACIAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,HIDROESTRATIGRAFICA,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,VERTICAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,HIDRAULICA,CONDICIONAL_VARIAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,HIDROQUIMICA,CONDICIONAL_VARIAVEL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,TEMPORAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,INDEPENDENCIA,CRITICA_CELULA,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,QUALIDADE_DOCUMENTAL,CRITICA_REGISTRO,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,INCERTEZA,TRANSVERSAL,False,False,Dimensão mantida separada. O papel indica dependência da pergunta e não peso.,PIH_MS_V2.4_SUF_PERGUNTA_V1
