question_code,requirement_code,dimension,requirement_name,source_field,role,evaluation_rule,demonstrated_rule,not_demonstrated_state,source_ids,universal_numeric_threshold_used,weight_used,unknown_rule,method_version
Q02,Q02_R04,HIDRAULICA,ENSAIO_METADADOS_MINIMOS,hydraulic_test_minimum_metadata,CRITICO_REGISTRO,Ensaio com metadados cadastrais mínimos,hydraulic_test_minimum_metadata = TRUE,UNKNOWN_ENSAIO_COM_METADADOS_MINIMOS,HY01|HY02|HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R05,TEMPORAL,DATA_ENSAIO,test_dated,CRITICO_REGISTRO,Data explícita do ensaio,test_dated = TRUE,UNKNOWN_DATA_DO_ENSAIO,HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R06,HIDRAULICA,METODO_INTERPRETATIVO,interpretation_method_documented,CRITICO_REGISTRO,Método de interpretação documentado,interpretation_method_documented = TRUE,UNKNOWN_METODO_INTERPRETATIVO,HY01|HY02|HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R07,HIDRAULICA,PARAMETRO_HIDRAULICO,hydraulic_parameter_reported,CRITICO_REGISTRO,Transmissividade informada,hydraulic_parameter_reported = TRUE,UNKNOWN_PARAMETRO_HIDRAULICO_VALIDAVEL,HY01|HY02|HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R08,HIDRAULICA,UNIDADE_HIDRAULICA_VERIFICADA,hydraulic_unit_verified,CRITICO_REGISTRO,Unidade do parâmetro verificada documentalmente,hydraulic_unit_verified = TRUE,UNKNOWN_UNIDADE_HIDRAULICA_VERIFICADA,HY06,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q02,Q02_R09,QUALIDADE_DOCUMENTAL,SEM_INVALIDO_OBJETIVO,no_objective_invalid,CRITICO_REGISTRO,Nenhum valor objetivamente inválido nas regras atuais,no_objective_invalid = TRUE,REVISAO_VALOR_OBJETIVAMENTE_INVALIDO,OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R01,ESPACIAL,COORDENADA_VALIDA,spatial_coordinate_valid,CRITICO_REGISTRO,Coordenada válida nas regras atuais,spatial_coordinate_valid = TRUE,REVISAO_COORDENADA_NAO_VALIDA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R02,VERTICAL,INTERVALO_CAPTADO,capture_interval_demonstrated,CRITICO_REGISTRO,Intervalo filtrado ou aberto demonstrado,capture_interval_demonstrated = TRUE,UNKNOWN_INTERVALO_CAPTADO_NAO_ADQUIRIDO,IN03|HY08,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R03,HIDROESTRATIGRAFICA,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,CRITICO_REGISTRO,Atribuição hidroestratigráfica consistente nas regras atuais,hydrostrat_consistent = TRUE,UNKNOWN_OU_REVISAO_HIDROESTRATIGRAFICA,OF01|HY08,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R04,HIDROQUIMICA,EVIDENCIA_HIDROQUIMICA,hydrochemical_partial_evidence,CRITICO_REGISTRO,Amostra ou resultado químico parcial presente,hydrochemical_partial_evidence = TRUE,UNKNOWN_EVIDENCIA_HIDROQUIMICA,HY07|HY08,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R05,TEMPORAL,DATA_HIDROQUIMICA,chemistry_dated,CRITICO_REGISTRO,Data de coleta ou análise disponível,chemistry_dated = TRUE,UNKNOWN_DATA_HIDROQUIMICA,HY07|HY08|BR01,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R06,HIDROQUIMICA,PARAMETRO_IDENTIFICADO,chem_parameter_identified,CRITICO_REGISTRO,Parâmetro químico identificado,chem_parameter_identified = TRUE,UNKNOWN_PARAMETRO_HIDROQUIMICO,HY07|HY08,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R07,HIDROQUIMICA,UNIDADE_QUIMICA_VERIFICADA,chem_unit_verified,CRITICO_REGISTRO,Unidade do resultado verificada documentalmente,chem_unit_verified = TRUE,UNKNOWN_UNIDADE_HIDROQUIMICA_VERIFICADA,HY07|HY08,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R08,HIDROQUIMICA,QA_ANALITICO_COMPLETO,chem_qa_complete,CRITICO_REGISTRO,"Amostragem, método e QA analítico demonstrados",chem_qa_complete = TRUE,UNKNOWN_QA_HIDROQUIMICO_COMPLETO,HY07|HY08|BR01,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q03,Q03_R09,QUALIDADE_DOCUMENTAL,SEM_INVALIDO_OBJETIVO,no_objective_invalid,CRITICO_REGISTRO,Nenhum valor objetivamente inválido nas regras atuais,no_objective_invalid = TRUE,REVISAO_VALOR_OBJETIVAMENTE_INVALIDO,OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R01,ESPACIAL,COORDENADA_VALIDA,spatial_coordinate_valid,CRITICO_REGISTRO,Coordenada válida nas regras atuais,spatial_coordinate_valid = TRUE,REVISAO_COORDENADA_NAO_VALIDA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R02,VERTICAL,PROFUNDIDADE_POSITIVA,vertical_depth_positive,CRITICO_REGISTRO,Profundidade total positiva informada,vertical_depth_positive = TRUE,UNKNOWN_PROFUNDIDADE_POSITIVA_NAO_DOCUMENTADA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R03,VERTICAL,PERFIL_LITOLOGICO,explicit_profile_documented,CRITICO_REGISTRO,Perfil litológico explícito adquirido,explicit_profile_documented = TRUE,UNKNOWN_PERFIL_LITOLOGICO_EXPLICITO,IN01|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R04,VERTICAL,INTERVALO_CAPTADO,capture_interval_demonstrated,CRITICO_REGISTRO,Intervalo filtrado ou aberto demonstrado,capture_interval_demonstrated = TRUE,UNKNOWN_INTERVALO_CAPTADO_NAO_ADQUIRIDO,IN01|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R05,HIDROESTRATIGRAFICA,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,CRITICO_REGISTRO,Atribuição hidroestratigráfica consistente nas regras atuais,hydrostrat_consistent = TRUE,UNKNOWN_OU_REVISAO_HIDROESTRATIGRAFICA,OF01|OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q04,Q04_R06,QUALIDADE_DOCUMENTAL,SEM_INVALIDO_OBJETIVO,no_objective_invalid,CRITICO_REGISTRO,Nenhum valor objetivamente inválido nas regras atuais,no_objective_invalid = TRUE,REVISAO_VALOR_OBJETIVAMENTE_INVALIDO,OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R01,ESPACIAL,COORDENADA_VALIDA,spatial_coordinate_valid,CRITICO_REGISTRO,Coordenada válida nas regras atuais,spatial_coordinate_valid = TRUE,REVISAO_COORDENADA_NAO_VALIDA,OF02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R02,TEMPORAL,SERIE_MESMA_VARIAVEL,time_series_demonstrated,CRITICO_REGISTRO,Série adquirida da mesma variável,time_series_demonstrated = TRUE,UNKNOWN_SERIE_TEMPORAL_NAO_ADQUIRIDA,IN02|IN03|OF04,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R03,TEMPORAL,EVIDENCIA_DATADA,temporal_any_dated,CRITICO_REGISTRO,Ao menos um evento datado,temporal_any_dated = TRUE,UNKNOWN_EVIDENCIA_TEMPORAL_DATADA,IN02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R04,VERTICAL,INTERVALO_CAPTADO,capture_interval_demonstrated,CRITICO_REGISTRO,Intervalo filtrado ou aberto demonstrado,capture_interval_demonstrated = TRUE,UNKNOWN_INTERVALO_CAPTADO_NAO_ADQUIRIDO,IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R05,HIDROESTRATIGRAFICA,HIDROESTRATIGRAFIA_CONSISTENTE,hydrostrat_consistent,CRITICO_REGISTRO,Atribuição hidroestratigráfica consistente nas regras atuais,hydrostrat_consistent = TRUE,UNKNOWN_OU_REVISAO_HIDROESTRATIGRAFICA,OF01|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R06,TEMPORAL,VARIAVEL_TEMPORAL_IDENTIFICADA,temporal_variable_identified,CRITICO_REGISTRO,Variável da série identificada e repetida,temporal_variable_identified = TRUE,UNKNOWN_VARIAVEL_TEMPORAL_REPETIDA,IN02|IN03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R07,INDEPENDENCIA,INDEPENDENCIA_HIDROGEOLOGICA,independence_demonstrated,CRITICO_REGISTRO,Independência necessária para inferência de rede demonstrada,independence_demonstrated = TRUE,UNKNOWN_INDEPENDENCIA_HIDROGEOLOGICA,IN03|IR03,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
Q05,Q05_R08,QUALIDADE_DOCUMENTAL,SEM_INVALIDO_OBJETIVO,no_objective_invalid,CRITICO_REGISTRO,Nenhum valor objetivamente inválido nas regras atuais,no_objective_invalid = TRUE,REVISAO_VALOR_OBJETIVAMENTE_INVALIDO,OF02,False,False,Falha do requisito descreve o conjunto adquirido e não ausência física da propriedade.,PIH_MS_V2.4_SUF_PERGUNTA_V1
