field,modules,source_files,definition,formula_or_rule,unit,how_to_read,does_not_mean,unknown_rule
cell_representativeness_state,Suficiência por pergunta,cell_question_sufficiency_long.csv,Estado da representatividade territorial da célula.,Permanece UNKNOWN sem independência e desenho amostral demonstrados.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_partial_only_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_representative_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_with_local_minimum_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_without_direct_evidence_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cells_without_wells_n,Suficiência por pergunta,question_scale_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
critical_demonstrated_n,Suficiência por pergunta,well_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
critical_requirements_n,Suficiência por pergunta,well_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
critical_review_n,Suficiência por pergunta,well_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
critical_unknown_n,Suficiência por pergunta,well_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
cutoff_date,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_registry.csv | question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv | well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
demonstrated,Suficiência por pergunta,well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
demonstrated_rule,Suficiência por pergunta,question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
dimension,Suficiência por pergunta,dimension_dependency_matrix.csv | question_requirement_matrix.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
direct_evidence_definition,Suficiência por pergunta,question_registry.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
direct_evidence_n,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
direct_evidence_pct_of_wells,Suficiência por pergunta,cell_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,%,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
direct_evidence_present,Suficiência por pergunta,well_question_sufficiency_long.csv,Presença da evidência direta definida para a pergunta.,Regra booleana indicada no registro de perguntas.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
evaluation_rule,Suficiência por pergunta,question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
grid_family,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
hydrolithologic_domain,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
hydrostrat_dominant_domain,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
hydrostrat_dominant_domain_pct,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,%,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
hydrostrat_dominant_unit,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
hydrostrat_dominant_unit_pct,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,%,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
independence_demonstrated,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
indicator_a,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
indicator_b,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
interpretation,Suficiência por pergunta,dimension_dependency_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
jaccard_presence,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,0 a 1 ou UNKNOWN,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
latitude,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
longitude,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
method_version,Suficiência por pergunta,cell_question_sufficiency_long.csv | dimension_dependency_matrix.csv | question_dependency_pairwise.csv | question_global_summary.csv | question_registry.csv | question_requirement_matrix.csv | question_scale_summary.csv | question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv | well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
minimum_documentary_definition,Suficiência por pergunta,question_registry.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
minimum_documentary_met,Suficiência por pergunta,well_question_sufficiency_long.csv,Indica atendimento simultâneo de todos os requisitos críticos do registro.,Conjunção lógica sem compensação.,booleano,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
minimum_documentary_n,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
minimum_documentary_pct_of_wells,Suficiência por pergunta,cell_question_sufficiency_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,%,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
municipality_declared,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
municipality_spatial,Suficiência por pergunta,well_question_sufficiency_long.csv | well_requirement_status_long.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
n00_neither,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
n01_b_only,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
n10_a_only,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
n11_both,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
n_wells,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv | question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
not_demonstrated_state,Suficiência por pergunta,question_requirement_matrix.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
partial_evidence_n,Suficiência por pergunta,cell_question_sufficiency_long.csv | question_global_summary.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
phi_presence,Suficiência por pergunta,question_dependency_pairwise.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,0 a 1 ou UNKNOWN,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_cell_documentary_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_cell_representativeness_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_direct_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_minimum_documentary_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_partial_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_review_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_top_blocking_requirements,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q01_unknown_evidence_n,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Contagem direta no universo indicado pelo arquivo e pelo denominador explícito.,n,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_cell_documentary_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
q02_cell_representativeness_state,Suficiência por pergunta,question_sufficiency_1000km2.csv | question_sufficiency_100km2.csv | question_sufficiency_150km2.csv | question_sufficiency_250km2.csv | question_sufficiency_500km2.csv,Campo da matriz de suficiência por pergunta da V2.4.,Definido pelas regras documentadas em SUFICIENCIA_POR_PERGUNTA_V1.md.,texto,Descreve disponibilidade documental condicionada à pergunta selecionada.,"Não é potencial aquífero, prioridade, peso, score ou representatividade territorial.",UNKNOWN permanece distinto de zero e de ausência física.
